Input Prompt,Target Response
" hey, what's5-4?",5-4=1
" hey, what's20-2?",20-2=18
what's8+1?,8+1=9
what's20/12?,20/12=1.6666666666666667
What is 17x6?,17x6=102
What is 11-14?,11-14=-3
value of 7+3?,7+3=10
what's1+5?,1+5=6
" hey, what's9+16?",9+16=25
" hey, what's19/6?",19/6=3.1666666666666665
" hey, what's10-11?",10-11=-1
value of 17x16?,17x16=272
what's6/8?,6/8=0.75
What is 18/3?,18/3=6.0
what's11+3?,11+3=14
" hey, what's3/9?",3/9=0.3333333333333333
What is 5/14?,5/14=0.35714285714285715
" hey, what's14x11?",14x11=154
" hey, what's7/6?",7/6=1.1666666666666667
what's11x8?,11x8=88
value of 18x4?,18x4=72
" hey, what's8-9?",8-9=-1
value of 15/9?,15/9=1.6666666666666667
value of 4+11?,4+11=15
value of 5/4?,5/4=1.25
value of 17-19?,17-19=-2
" hey, what's8-7?",8-7=1
value of 13/11?,13/11=1.1818181818181819
What is 6+19?,6+19=25
" hey, what's13x1?",13x1=13
What is 1-6?,1-6=-5
what's9+2?,9+2=11
value of 3-3?,3-3=0
what's7/18?,7/18=0.3888888888888889
What is 7/16?,7/16=0.4375
What is 8-1?,8-1=7
what's17x9?,17x9=153
what's5-6?,5-6=-1
value of 8x2?,8x2=16
What is 5/20?,5/20=0.25
what's16/1?,16/1=16.0
value of 17-17?,17-17=0
what's11+12?,11+12=23
" hey, what's18+2?",18+2=20
What is 19+19?,19+19=38
what's12x12?,12x12=144
" hey, what's20x2?",20x2=40
" hey, what's16-10?",16-10=6
What is 19/5?,19/5=3.8
what's4-12?,4-12=-8
What is 6+11?,6+11=17
what's11+18?,11+18=29
what's3+11?,3+11=14
" hey, what's21-15?",21-15=6
" hey, what's6+7?",6+7=13
" hey, what's4/16?",4/16=0.25
value of 8-5?,8-5=3
What is 5x13?,5x13=65
value of 11x12?,11x12=132
value of 8+1?,8+1=9
what's6-6?,6-6=0
value of 16/11?,16/11=1.4545454545454546
What is 20-20?,20-20=0
" hey, what's3+5?",3+5=8
What is 15+4?,15+4=19
" hey, what's4+8?",4+8=12
" hey, what's3/4?",3/4=0.75
" hey, what's5-10?",5-10=-5
What is 16x1?,16x1=16
what's17-12?,17-12=5
" hey, what's18x17?",18x17=306
what's4-14?,4-14=-10
" hey, what's5-5?",5-5=0
what's8/18?,8/18=0.4444444444444444
What is 6/19?,6/19=0.3157894736842105
What is 12x16?,12x16=192
" hey, what's3x6?",3x6=18
value of 13/12?,13/12=1.0833333333333333
What is 2x20?,2x20=40
value of 4+19?,4+19=23
" hey, what's2x16?",2x16=32
what's20-6?,20-6=14
value of 11+20?,11+20=31
" hey, what's12+13?",12+13=25
value of 3x5?,3x5=15
What is 6+17?,6+17=23
value of 14x3?,14x3=42
what's19/17?,19/17=1.1176470588235294
" hey, what's21-18?",21-18=3
value of 11x5?,11x5=55
What is 18-18?,18-18=0
what's3x20?,3x20=60
value of 14-14?,14-14=0
What is 18-2?,18-2=16
what's13-4?,13-4=9
what's2x10?,2x10=20
What is 4-20?,4-20=-16
value of 4-14?,4-14=-10
" hey, what's1/17?",1/17=0.058823529411764705
what's15+8?,15+8=23
value of 18+16?,18+16=34
what's12x3?,12x3=36
what's10-20?,10-20=-10
value of 2+8?,2+8=10
value of 18+15?,18+15=33
value of 12/10?,12/10=1.2
what's10x15?,10x15=150
" hey, what's13-11?",13-11=2
" hey, what's17+17?",17+17=34
What is 21x7?,21x7=147
What is 16-2?,16-2=14
What is 1+1?,1+1=2
What is 19+5?,19+5=24
what's11x17?,11x17=187
" hey, what's14-12?",14-12=2
what's15-8?,15-8=7
value of 15-17?,15-17=-2
" hey, what's21x12?",21x12=252
what's7/9?,7/9=0.7777777777777778
" hey, what's3+1?",3+1=4
What is 20/4?,20/4=5.0
value of 20+3?,20+3=23
value of 8/4?,8/4=2.0
value of 6-12?,6-12=-6
what's3+14?,3+14=17
What is 1/11?,1/11=0.09090909090909091
" hey, what's20/18?",20/18=1.1111111111111112
value of 14x11?,14x11=154
" hey, what's13-8?",13-8=5
value of 1+15?,1+15=16
What is 15/10?,15/10=1.5
" hey, what's16-8?",16-8=8
" hey, what's1-17?",1-17=-16
value of 12-19?,12-19=-7
value of 14/13?,14/13=1.0769230769230769
" hey, what's20+8?",20+8=28
" hey, what's3-16?",3-16=-13
What is 13/12?,13/12=1.0833333333333333
value of 1-7?,1-7=-6
what's3x16?,3x16=48
value of 13+12?,13+12=25
What is 5/7?,5/7=0.7142857142857143
" hey, what's8-19?",8-19=-11
what's19x2?,19x2=38
what's13+18?,13+18=31
value of 20x16?,20x16=320
value of 18x6?,18x6=108
What is 15x16?,15x16=240
what's10+1?,10+1=11
what's2/10?,2/10=0.2
What is 9-3?,9-3=6
What is 2+14?,2+14=16
what's7/8?,7/8=0.875
What is 4+12?,4+12=16
What is 5+1?,5+1=6
what's1+7?,1+7=8
What is 19/4?,19/4=4.75
" hey, what's19x7?",19x7=133
what's20+2?,20+2=22
" hey, what's10-5?",10-5=5
" hey, what's13+6?",13+6=19
value of 1-6?,1-6=-5
What is 2x12?,2x12=24
value of 3-9?,3-9=-6
value of 13+11?,13+11=24
what's19+6?,19+6=25
What is 13/11?,13/11=1.1818181818181819
" hey, what's15x1?",15x1=15
value of 20/15?,20/15=1.3333333333333333
What is 6-3?,6-3=3
what's8x5?,8x5=40
" hey, what's13-2?",13-2=11
value of 11-8?,11-8=3
What is 21+19?,21+19=40
" hey, what's20x20?",20x20=400
What is 20-3?,20-3=17
value of 19-5?,19-5=14
what's20/4?,20/4=5.0
What is 9-20?,9-20=-11
what's8x8?,8x8=64
what's8x16?,8x16=128
what's1-5?,1-5=-4
value of 20/2?,20/2=10.0
value of 15+3?,15+3=18
what's13/17?,13/17=0.7647058823529411
what's9-15?,9-15=-6
What is 6+13?,6+13=19
value of 16+6?,16+6=22
" hey, what's4+15?",4+15=19
What is 19+12?,19+12=31
What is 21-4?,21-4=17
" hey, what's9+14?",9+14=23
what's20x1?,20x1=20
value of 12/6?,12/6=2.0
" hey, what's16+16?",16+16=32
What is 8/18?,8/18=0.4444444444444444
value of 19x17?,19x17=323
" hey, what's11+5?",11+5=16
value of 10+16?,10+16=26
value of 20/3?,20/3=6.666666666666667
What is 13-3?,13-3=10
what's14+6?,14+6=20
what's1+12?,1+12=13
" hey, what's15+2?",15+2=17
what's7x10?,7x10=70
what's20+20?,20+20=40
what's3-8?,3-8=-5
" hey, what's3-13?",3-13=-10
what's6/17?,6/17=0.35294117647058826
What is 1/19?,1/19=0.05263157894736842
What is 13x1?,13x1=13
" hey, what's18-15?",18-15=3
" hey, what's2x12?",2x12=24
what's9/6?,9/6=1.5
what's1-7?,1-7=-6
value of 15/6?,15/6=2.5
What is 10/11?,10/11=0.9090909090909091
" hey, what's20-6?",20-6=14
What is 21-18?,21-18=3
What is 12x9?,12x9=108
what's1-9?,1-9=-8
What is 21/13?,21/13=1.6153846153846154
" hey, what's21-10?",21-10=11
What is 14/6?,14/6=2.3333333333333335
what's13x14?,13x14=182
What is 21+16?,21+16=37
what's16-5?,16-5=11
value of 7x14?,7x14=98
what's14/11?,14/11=1.2727272727272727
" hey, what's9-7?",9-7=2
What is 2/19?,2/19=0.10526315789473684
what's13x16?,13x16=208
value of 4/17?,4/17=0.23529411764705882
" hey, what's15x12?",15x12=180
value of 4/1?,4/1=4.0
value of 6+13?,6+13=19
value of 2x6?,2x6=12
What is 16-9?,16-9=7
value of 15-1?,15-1=14
What is 9/17?,9/17=0.5294117647058824
" hey, what's12+1?",12+1=13
What is 16x17?,16x17=272
" hey, what's1-10?",1-10=-9
value of 19+17?,19+17=36
What is 7/2?,7/2=3.5
what's3/19?,3/19=0.15789473684210525
what's12/9?,12/9=1.3333333333333333
value of 2/7?,2/7=0.2857142857142857
value of 18-9?,18-9=9
what's7x9?,7x9=63
What is 9x2?,9x2=18
what's17+19?,17+19=36
what's21+6?,21+6=27
What is 11/10?,11/10=1.1
What is 3x15?,3x15=45
what's11+19?,11+19=30
what's8+2?,8+2=10
What is 10+4?,10+4=14
value of 8x3?,8x3=24
" hey, what's4x20?",4x20=80
What is 6+6?,6+6=12
what's15x2?,15x2=30
" hey, what's1x13?",1x13=13
" hey, what's7-19?",7-19=-12
what's14x16?,14x16=224
value of 12+1?,12+1=13
" hey, what's11+9?",11+9=20
what's10-6?,10-6=4
what's21/15?,21/15=1.4
what's16-18?,16-18=-2
value of 3-15?,3-15=-12
value of 4x12?,4x12=48
" hey, what's18x7?",18x7=126
what's18x8?,18x8=144
value of 13-5?,13-5=8
what's5-17?,5-17=-12
value of 9/14?,9/14=0.6428571428571429
" hey, what's14+17?",14+17=31
value of 16/19?,16/19=0.8421052631578947
" hey, what's5+4?",5+4=9
value of 14x14?,14x14=196
What is 14+7?,14+7=21
" hey, what's9/2?",9/2=4.5
" hey, what's7/8?",7/8=0.875
What is 20x9?,20x9=180
what's12/6?,12/6=2.0
" hey, what's18/13?",18/13=1.3846153846153846
value of 14/17?,14/17=0.8235294117647058
value of 17-13?,17-13=4
What is 6/14?,6/14=0.42857142857142855
value of 20x10?,20x10=200
value of 10+15?,10+15=25
" hey, what's10+15?",10+15=25
what's6x3?,6x3=18
" hey, what's4x18?",4x18=72
value of 16x16?,16x16=256
What is 7/13?,7/13=0.5384615384615384
What is 18/18?,18/18=1.0
what's5/15?,5/15=0.3333333333333333
what's13x8?,13x8=104
value of 21/5?,21/5=4.2
what's15/9?,15/9=1.6666666666666667
What is 7x2?,7x2=14
What is 17/10?,17/10=1.7
value of 12+7?,12+7=19
value of 11/2?,11/2=5.5
What is 17+16?,17+16=33
value of 1x16?,1x16=16
value of 11x3?,11x3=33
" hey, what's20-19?",20-19=1
" hey, what's17x3?",17x3=51
value of 5x4?,5x4=20
what's7-7?,7-7=0
what's6x17?,6x17=102
" hey, what's12-15?",12-15=-3
What is 3/4?,3/4=0.75
" hey, what's13/5?",13/5=2.6
what's4/5?,4/5=0.8
value of 4/4?,4/4=1.0
what's13-17?,13-17=-4
" hey, what's2/10?",2/10=0.2
what's5+16?,5+16=21
value of 7+7?,7+7=14
What is 10/17?,10/17=0.5882352941176471
value of 6+15?,6+15=21
" hey, what's3-15?",3-15=-12
What is 5-13?,5-13=-8
" hey, what's16+13?",16+13=29
What is 19+8?,19+8=27
what's20x19?,20x19=380
what's3-4?,3-4=-1
what's11/2?,11/2=5.5
what's15+12?,15+12=27
What is 20-18?,20-18=2
" hey, what's10x13?",10x13=130
what's18-20?,18-20=-2
value of 10-8?,10-8=2
what's19+19?,19+19=38
what's18x15?,18x15=270
" hey, what's9x14?",9x14=126
" hey, what's1x20?",1x20=20
value of 20-17?,20-17=3
what's17/8?,17/8=2.125
value of 14-8?,14-8=6
value of 1/9?,1/9=0.1111111111111111
" hey, what's16/20?",16/20=0.8
" hey, what's15/11?",15/11=1.3636363636363635
what's8-16?,8-16=-8
what's5x4?,5x4=20
What is 16+1?,16+1=17
what's18-10?,18-10=8
what's5-12?,5-12=-7
What is 20/16?,20/16=1.25
What is 1-19?,1-19=-18
What is 13+13?,13+13=26
what's19x14?,19x14=266
" hey, what's14-8?",14-8=6
" hey, what's11/12?",11/12=0.9166666666666666
what's15x20?,15x20=300
" hey, what's3-12?",3-12=-9
What is 4x13?,4x13=52
What is 4-11?,4-11=-7
what's12-17?,12-17=-5
" hey, what's2-7?",2-7=-5
value of 5x8?,5x8=40
" hey, what's16x10?",16x10=160
what's11-10?,11-10=1
" hey, what's9+12?",9+12=21
what's20+11?,20+11=31
" hey, what's5-13?",5-13=-8
" hey, what's5/5?",5/5=1.0
What is 6+20?,6+20=26
what's14/2?,14/2=7.0
value of 6x19?,6x19=114
value of 14/14?,14/14=1.0
What is 16x15?,16x15=240
" hey, what's8/4?",8/4=2.0
" hey, what's2-12?",2-12=-10
" hey, what's17/5?",17/5=3.4
" hey, what's4-10?",4-10=-6
" hey, what's4+10?",4+10=14
What is 4/2?,4/2=2.0
value of 9/3?,9/3=3.0
What is 5-15?,5-15=-10
value of 16x14?,16x14=224
What is 6-9?,6-9=-3
" hey, what's13+14?",13+14=27
What is 4+8?,4+8=12
What is 15-8?,15-8=7
what's2+20?,2+20=22
What is 7+5?,7+5=12
what's15-18?,15-18=-3
value of 11-11?,11-11=0
What is 16-14?,16-14=2
" hey, what's11+8?",11+8=19
What is 19+17?,19+17=36
value of 20-8?,20-8=12
What is 12+9?,12+9=21
" hey, what's7+16?",7+16=23
what's6x2?,6x2=12
What is 12+4?,12+4=16
what's18-6?,18-6=12
" hey, what's8-15?",8-15=-7
" hey, what's17x13?",17x13=221
What is 20+5?,20+5=25
what's20-13?,20-13=7
" hey, what's4+14?",4+14=18
value of 7+2?,7+2=9
What is 16x6?,16x6=96
what's6-11?,6-11=-5
value of 11/11?,11/11=1.0
value of 15x18?,15x18=270
value of 3+14?,3+14=17
" hey, what's10-12?",10-12=-2
what's6/13?,6/13=0.46153846153846156
" hey, what's18+20?",18+20=38
value of 12+15?,12+15=27
" hey, what's19/9?",19/9=2.111111111111111
What is 16/12?,16/12=1.3333333333333333
value of 13+2?,13+2=15
" hey, what's16+9?",16+9=25
value of 14+11?,14+11=25
What is 18x6?,18x6=108
what's21/7?,21/7=3.0
what's10/20?,10/20=0.5
value of 11-18?,11-18=-7
value of 20x19?,20x19=380
value of 11/14?,11/14=0.7857142857142857
What is 17x10?,17x10=170
What is 9/3?,9/3=3.0
what's21-14?,21-14=7
What is 6-6?,6-6=0
value of 10-5?,10-5=5
what's9+13?,9+13=22
" hey, what's21+8?",21+8=29
what's4/8?,4/8=0.5
value of 20/10?,20/10=2.0
value of 19-15?,19-15=4
value of 9/15?,9/15=0.6
what's19/15?,19/15=1.2666666666666666
what's11+10?,11+10=21
what's8x20?,8x20=160
What is 13+18?,13+18=31
What is 3/7?,3/7=0.42857142857142855
What is 1x5?,1x5=5
" hey, what's7/4?",7/4=1.75
value of 13/9?,13/9=1.4444444444444444
What is 5-20?,5-20=-15
What is 4/13?,4/13=0.3076923076923077
what's4x6?,4x6=24
value of 10-12?,10-12=-2
" hey, what's16+15?",16+15=31
What is 6+2?,6+2=8
what's14/19?,14/19=0.7368421052631579
value of 4/19?,4/19=0.21052631578947367
what's11/11?,11/11=1.0
what's20x8?,20x8=160
What is 6-14?,6-14=-8
value of 2+2?,2+2=4
What is 17/3?,17/3=5.666666666666667
" hey, what's14/4?",14/4=3.5
value of 9x5?,9x5=45
value of 20x2?,20x2=40
" hey, what's12+9?",12+9=21
" hey, what's10-20?",10-20=-10
value of 12/20?,12/20=0.6
What is 21x5?,21x5=105
value of 7/1?,7/1=7.0
What is 7+19?,7+19=26
" hey, what's12/11?",12/11=1.0909090909090908
" hey, what's10x9?",10x9=90
what's3-14?,3-14=-11
What is 15+12?,15+12=27
value of 5-10?,5-10=-5
what's12+17?,12+17=29
value of 12x20?,12x20=240
" hey, what's16+4?",16+4=20
" hey, what's20+12?",20+12=32
value of 13x10?,13x10=130
what's6x1?,6x1=6
what's12-1?,12-1=11
value of 10x6?,10x6=60
" hey, what's15+12?",15+12=27
" hey, what's14/15?",14/15=0.9333333333333333
what's14+7?,14+7=21
value of 1x8?,1x8=8
What is 9+16?,9+16=25
value of 19x1?,19x1=19
value of 2x1?,2x1=2
what's2/16?,2/16=0.125
What is 19-15?,19-15=4
What is 18/7?,18/7=2.5714285714285716
what's7+4?,7+4=11
" hey, what's13-10?",13-10=3
value of 7-10?,7-10=-3
" hey, what's13+5?",13+5=18
value of 20/14?,20/14=1.4285714285714286
What is 2+16?,2+16=18
" hey, what's3/10?",3/10=0.3
value of 18/14?,18/14=1.2857142857142858
what's17x2?,17x2=34
" hey, what's1x15?",1x15=15
What is 21/16?,21/16=1.3125
" hey, what's18/16?",18/16=1.125
" hey, what's11/11?",11/11=1.0
What is 4-10?,4-10=-6
what's21+16?,21+16=37
value of 2+13?,2+13=15
value of 10+20?,10+20=30
value of 13x15?,13x15=195
value of 6x20?,6x20=120
value of 20-11?,20-11=9
value of 9x3?,9x3=27
what's14/8?,14/8=1.75
" hey, what's3/19?",3/19=0.15789473684210525
" hey, what's11x12?",11x12=132
" hey, what's9+17?",9+17=26
" hey, what's20+7?",20+7=27
What is 8-14?,8-14=-6
What is 16+4?,16+4=20
value of 2+5?,2+5=7
" hey, what's13x19?",13x19=247
" hey, what's4x4?",4x4=16
What is 9x19?,9x19=171
" hey, what's7/17?",7/17=0.4117647058823529
What is 7x1?,7x1=7
value of 15x2?,15x2=30
value of 7/7?,7/7=1.0
" hey, what's4/8?",4/8=0.5
what's12/13?,12/13=0.9230769230769231
What is 6/9?,6/9=0.6666666666666666
what's9+11?,9+11=20
what's13x18?,13x18=234
value of 6x7?,6x7=42
what's1-15?,1-15=-14
" hey, what's8/5?",8/5=1.6
What is 7x10?,7x10=70
value of 16-10?,16-10=6
what's14/14?,14/14=1.0
what's20+13?,20+13=33
What is 8/13?,8/13=0.6153846153846154
what's1x13?,1x13=13
what's2-20?,2-20=-18
" hey, what's14/5?",14/5=2.8
" hey, what's19-5?",19-5=14
" hey, what's9/16?",9/16=0.5625
" hey, what's10+20?",10+20=30
what's8-7?,8-7=1
what's13x4?,13x4=52
what's5/8?,5/8=0.625
value of 13/1?,13/1=13.0
What is 19-3?,19-3=16
What is 19-12?,19-12=7
What is 11/9?,11/9=1.2222222222222223
" hey, what's12+3?",12+3=15
value of 15-11?,15-11=4
what's14x13?,14x13=182
value of 2/1?,2/1=2.0
value of 3+3?,3+3=6
what's1/10?,1/10=0.1
value of 2-15?,2-15=-13
What is 20/11?,20/11=1.8181818181818181
value of 9x16?,9x16=144
what's7+16?,7+16=23
value of 1-16?,1-16=-15
value of 8+6?,8+6=14
What is 17+11?,17+11=28
what's17x3?,17x3=51
value of 8/11?,8/11=0.7272727272727273
value of 4/11?,4/11=0.36363636363636365
value of 18x12?,18x12=216
value of 18x8?,18x8=144
value of 6+7?,6+7=13
value of 9+10?,9+10=19
value of 19/9?,19/9=2.111111111111111
What is 10-19?,10-19=-9
What is 21x6?,21x6=126
value of 12-5?,12-5=7
What is 20+13?,20+13=33
What is 5/8?,5/8=0.625
What is 21x19?,21x19=399
" hey, what's9x7?",9x7=63
what's4-19?,4-19=-15
What is 18/19?,18/19=0.9473684210526315
What is 16/2?,16/2=8.0
value of 11x16?,11x16=176
" hey, what's9x16?",9x16=144
value of 20/9?,20/9=2.2222222222222223
What is 19x6?,19x6=114
what's5-15?,5-15=-10
" hey, what's3-4?",3-4=-1
value of 16/2?,16/2=8.0
what's14/12?,14/12=1.1666666666666667
value of 14/19?,14/19=0.7368421052631579
" hey, what's13/1?",13/1=13.0
what's10/18?,10/18=0.5555555555555556
what's12+13?,12+13=25
value of 12x3?,12x3=36
" hey, what's2-4?",2-4=-2
" hey, what's8x7?",8x7=56
What is 19/17?,19/17=1.1176470588235294
value of 18/15?,18/15=1.2
What is 18+3?,18+3=21
" hey, what's5/17?",5/17=0.29411764705882354
" hey, what's6-14?",6-14=-8
value of 12+10?,12+10=22
" hey, what's21x9?",21x9=189
value of 16-6?,16-6=10
what's14-9?,14-9=5
" hey, what's16-13?",16-13=3
what's8-11?,8-11=-3
" hey, what's13+7?",13+7=20
what's10+11?,10+11=21
what's20-2?,20-2=18
What is 15x18?,15x18=270
value of 1+11?,1+11=12
" hey, what's19+16?",19+16=35
what's2x8?,2x8=16
What is 1/9?,1/9=0.1111111111111111
" hey, what's21/15?",21/15=1.4
what's3x11?,3x11=33
What is 12+11?,12+11=23
" hey, what's17/18?",17/18=0.9444444444444444
value of 2-17?,2-17=-15
" hey, what's3x2?",3x2=6
value of 14+2?,14+2=16
value of 12+9?,12+9=21
what's11x10?,11x10=110
what's1x12?,1x12=12
What is 10-18?,10-18=-8
" hey, what's13+10?",13+10=23
What is 12/13?,12/13=0.9230769230769231
what's6/16?,6/16=0.375
what's10/1?,10/1=10.0
value of 13/14?,13/14=0.9285714285714286
What is 10+12?,10+12=22
value of 18-5?,18-5=13
" hey, what's20/7?",20/7=2.857142857142857
What is 3x3?,3x3=9
" hey, what's21x16?",21x16=336
value of 1+4?,1+4=5
" hey, what's13-14?",13-14=-1
What is 5x18?,5x18=90
What is 12/6?,12/6=2.0
What is 19+4?,19+4=23
what's17x18?,17x18=306
value of 2+6?,2+6=8
value of 4x10?,4x10=40
what's9-13?,9-13=-4
value of 19/1?,19/1=19.0
what's1+10?,1+10=11
value of 4/12?,4/12=0.3333333333333333
" hey, what's21x1?",21x1=21
value of 7/10?,7/10=0.7
" hey, what's16x1?",16x1=16
value of 9x20?,9x20=180
" hey, what's10x5?",10x5=50
what's9x17?,9x17=153
What is 2x10?,2x10=20
what's12/14?,12/14=0.8571428571428571
what's8/13?,8/13=0.6153846153846154
value of 17x14?,17x14=238
value of 11x11?,11x11=121
What is 21-16?,21-16=5
value of 18-19?,18-19=-1
what's20+16?,20+16=36
value of 15-19?,15-19=-4
What is 19+9?,19+9=28
value of 18x14?,18x14=252
what's4-5?,4-5=-1
What is 2x6?,2x6=12
what's2/3?,2/3=0.6666666666666666
What is 17-6?,17-6=11
What is 8x8?,8x8=64
value of 3x12?,3x12=36
" hey, what's10-13?",10-13=-3
what's16/16?,16/16=1.0
what's7+1?,7+1=8
value of 6x14?,6x14=84
what's14x8?,14x8=112
" hey, what's10-17?",10-17=-7
What is 2-14?,2-14=-12
what's13-20?,13-20=-7
" hey, what's19-2?",19-2=17
What is 16+19?,16+19=35
" hey, what's6-17?",6-17=-11
what's14-8?,14-8=6
What is 11+4?,11+4=15
what's10-16?,10-16=-6
" hey, what's6-4?",6-4=2
what's4/1?,4/1=4.0
value of 20-13?,20-13=7
what's9+3?,9+3=12
value of 9-6?,9-6=3
what's5-7?,5-7=-2
value of 19+7?,19+7=26
value of 3/5?,3/5=0.6
What is 3/11?,3/11=0.2727272727272727
" hey, what's16-5?",16-5=11
what's19/11?,19/11=1.7272727272727273
what's19x18?,19x18=342
What is 13-6?,13-6=7
what's12/3?,12/3=4.0
what's8/4?,8/4=2.0
What is 15+19?,15+19=34
what's4+9?,4+9=13
value of 10x14?,10x14=140
value of 6-7?,6-7=-1
" hey, what's4+4?",4+4=8
value of 3/9?,3/9=0.3333333333333333
value of 1x5?,1x5=5
What is 6x20?,6x20=120
What is 8+8?,8+8=16
what's17-2?,17-2=15
value of 15x4?,15x4=60
What is 4-17?,4-17=-13
what's4/16?,4/16=0.25
value of 1-8?,1-8=-7
What is 14/9?,14/9=1.5555555555555556
what's14+18?,14+18=32
value of 2+1?,2+1=3
What is 18x1?,18x1=18
" hey, what's17/17?",17/17=1.0
what's4-18?,4-18=-14
value of 11+7?,11+7=18
value of 12+3?,12+3=15
What is 18x17?,18x17=306
" hey, what's2-17?",2-17=-15
" hey, what's19x14?",19x14=266
What is 3-18?,3-18=-15
what's15+16?,15+16=31
What is 17/11?,17/11=1.5454545454545454
" hey, what's21x10?",21x10=210
what's12+18?,12+18=30
value of 15x13?,15x13=195
What is 7x3?,7x3=21
what's9/19?,9/19=0.47368421052631576
" hey, what's7-16?",7-16=-9
What is 7-5?,7-5=2
value of 11-2?,11-2=9
" hey, what's12-13?",12-13=-1
What is 10x8?,10x8=80
" hey, what's4x12?",4x12=48
What is 7x7?,7x7=49
What is 20+17?,20+17=37
value of 13x3?,13x3=39
value of 21-4?,21-4=17
" hey, what's14+9?",14+9=23
What is 21-5?,21-5=16
" hey, what's3+3?",3+3=6
value of 6x4?,6x4=24
" hey, what's12/18?",12/18=0.6666666666666666
what's9/12?,9/12=0.75
What is 21x18?,21x18=378
value of 20x12?,20x12=240
What is 5-7?,5-7=-2
value of 18x1?,18x1=18
what's2+2?,2+2=4
" hey, what's13x15?",13x15=195
what's21x11?,21x11=231
What is 21/19?,21/19=1.105263157894737
" hey, what's1+18?",1+18=19
" hey, what's21+17?",21+17=38
what's4/3?,4/3=1.3333333333333333
value of 5+10?,5+10=15
What is 9x18?,9x18=162
What is 6x13?,6x13=78
What is 14-1?,14-1=13
what's2x14?,2x14=28
value of 15/13?,15/13=1.1538461538461537
What is 17x13?,17x13=221
value of 19x7?,19x7=133
What is 21+10?,21+10=31
" hey, what's6-10?",6-10=-4
what's14/15?,14/15=0.9333333333333333
" hey, what's21+9?",21+9=30
What is 5+13?,5+13=18
What is 10+17?,10+17=27
value of 2+17?,2+17=19
what's17+18?,17+18=35
" hey, what's11-20?",11-20=-9
" hey, what's1+5?",1+5=6
what's9x2?,9x2=18
what's10+8?,10+8=18
what's7+11?,7+11=18
value of 3/6?,3/6=0.5
" hey, what's17-17?",17-17=0
what's16-2?,16-2=14
what's18x11?,18x11=198
What is 18+20?,18+20=38
What is 7+15?,7+15=22
what's5-9?,5-9=-4
What is 21+2?,21+2=23
what's6+7?,6+7=13
What is 13/3?,13/3=4.333333333333333
" hey, what's2/19?",2/19=0.10526315789473684
value of 14-19?,14-19=-5
what's4x20?,4x20=80
" hey, what's4/13?",4/13=0.3076923076923077
What is 2/20?,2/20=0.1
value of 11/8?,11/8=1.375
what's21+9?,21+9=30
What is 7-9?,7-9=-2
What is 2x4?,2x4=8
" hey, what's3x8?",3x8=24
" hey, what's6+8?",6+8=14
What is 20-6?,20-6=14
what's11x14?,11x14=154
what's5-14?,5-14=-9
What is 11-15?,11-15=-4
" hey, what's11/17?",11/17=0.6470588235294118
" hey, what's13/7?",13/7=1.8571428571428572
value of 8x14?,8x14=112
value of 20+20?,20+20=40
what's7-6?,7-6=1
value of 21/20?,21/20=1.05
what's5/19?,5/19=0.2631578947368421
" hey, what's20x17?",20x17=340
What is 3-16?,3-16=-13
What is 9/18?,9/18=0.5
What is 2-2?,2-2=0
" hey, what's13+16?",13+16=29
" hey, what's1x2?",1x2=2
what's11+8?,11+8=19
value of 5-13?,5-13=-8
what's8x11?,8x11=88
" hey, what's3/20?",3/20=0.15
" hey, what's13+15?",13+15=28
value of 2x10?,2x10=20
What is 13x15?,13x15=195
What is 21+3?,21+3=24
value of 21+1?,21+1=22
" hey, what's4x14?",4x14=56
what's12+11?,12+11=23
value of 9+6?,9+6=15
" hey, what's9x12?",9x12=108
value of 14+20?,14+20=34
value of 4x13?,4x13=52
What is 15x8?,15x8=120
" hey, what's11x8?",11x8=88
what's6+11?,6+11=17
value of 14x5?,14x5=70
" hey, what's11-6?",11-6=5
value of 1x10?,1x10=10
what's16/11?,16/11=1.4545454545454546
value of 12/3?,12/3=4.0
what's2+7?,2+7=9
" hey, what's21/19?",21/19=1.105263157894737
value of 2/12?,2/12=0.16666666666666666
what's13+1?,13+1=14
what's6x13?,6x13=78
what's6x19?,6x19=114
What is 1/12?,1/12=0.08333333333333333
what's10/10?,10/10=1.0
what's9x14?,9x14=126
what's12x9?,12x9=108
what's7x13?,7x13=91
what's20/1?,20/1=20.0
What is 11+8?,11+8=19
value of 7-3?,7-3=4
what's1/12?,1/12=0.08333333333333333
what's8/19?,8/19=0.42105263157894735
what's18x10?,18x10=180
" hey, what's13x10?",13x10=130
What is 12+10?,12+10=22
" hey, what's6x3?",6x3=18
what's8-2?,8-2=6
What is 16/17?,16/17=0.9411764705882353
" hey, what's19/11?",19/11=1.7272727272727273
" hey, what's18-7?",18-7=11
value of 5x18?,5x18=90
what's21/13?,21/13=1.6153846153846154
what's4/7?,4/7=0.5714285714285714
What is 21-11?,21-11=10
value of 9+17?,9+17=26
" hey, what's6x11?",6x11=66
What is 11x5?,11x5=55
" hey, what's19/18?",19/18=1.0555555555555556
" hey, what's6+4?",6+4=10
What is 5x3?,5x3=15
what's4+7?,4+7=11
value of 12x18?,12x18=216
what's3+19?,3+19=22
what's11/20?,11/20=0.55
" hey, what's4+2?",4+2=6
value of 4+16?,4+16=20
" hey, what's6-8?",6-8=-2
What is 21+15?,21+15=36
